    svm.pred Pclass Sex Age SibSp Parch Embarked
15         1      3   2   1     0     0        4
16         1      2   2   3     0     0        4
18         0      2   1   2     0     0        4
21         0      2   1   2     0     0        4
24         0      1   1   2     0     0        4
29         1      3   2   2     0     0        3
32         1      1   2   2     1     0        2
35         1      1   1   2     1     0        2
41         0      3   2   2     1     0        4
66         0      3   1   2     1     1        2
74         0      3   1   2     1     0        2
85         1      2   2   1     0     0        4
101        0      3   2   2     0     0        4
113        0      3   1   2     0     0        4
114        0      3   2   2     1     0        4
119        0      1   1   2     0     1        2
123        0      2   1   2     1     0        2
132        0      3   1   2     0     0        4
137        1      1   2   2     0     2        4
142        0      3   2   2     0     0        4
145        0      2   1   1     0     0        4
147        0      3   1   2     0     0        4
154        0      3   1   3     0     2        4
166        1      3   1   1     0     2        4
179        0      2   1   2     0     0        4
201        0      3   1   2     0     0        4
208        0      3   1   2     0     0        2
214        0      2   1   2     0     0        4
226        0      3   1   2     0     0        4
246        1      1   1   3     2     0        3
249        0      1   1   2     1     1        4
261        0      3   1   2     0     0        3
263        0      1   1   3     1     1        4
264        0      1   1   2     0     0        4
270        1      1   2   2     0     0        4
288        0      3   1   2     0     0        4
292        1      1   2   2     1     0        2
313        1      2   2   2     1     1        4
317        1      2   2   2     1     0        4
321        0      3   1   2     0     0        4
322        0      3   1   2     0     0        4
326        1      1   2   2     0     0        2
339        0      3   1   3     0     0        4
350        0      3   1   3     0     0        4
369        1      3   2   2     0     0        3
387        0      3   1   1     5     2        4
397        0      3   2   2     0     0        4
421        0      3   1   2     0     0        2
431        0      1   1   2     0     0        4
432        0      3   2   2     1     0        4
456        0      3   1   2     0     0        2
459        1      2   2   3     0     0        4
473        1      2   2   2     1     2        4
474        1      2   2   2     0     0        2
476        0      1   1   2     0     0        4
479        0      3   1   2     0     0        4
482        0      2   1   2     0     0        4
492        0      3   1   2     0     0        4
502        1      3   2   2     0     0        3
508        0      1   1   2     0     0        4
533        1      3   1   1     1     1        2
554        0      3   1   2     0     0        2
570        0      3   1   2     0     0        4
583        0      2   1   3     0     0        4
595        0      2   1   2     1     0        4
598        0      3   1   3     0     0        4
600        1      1   1   3     1     0        2
603        0      1   1   2     0     0        4
608        0      1   1   2     0     0        4
624        0      3   1   2     0     0        4
637        0      3   1   2     0     0        4
638        0      2   1   2     1     1        4
640        0      3   1   2     1     0        4
655        1      3   2   1     0     0        3
663        0      1   1   3     0     0        4
682        0      1   1   2     0     0        2
700        0      3   1   3     0     0        4
707        1      2   2   3     0     0        4
713        0      1   1   3     1     0        4
731        1      1   2   2     0     0        4
738        0      1   1   2     0     0        2
750        0      3   1   2     0     0        3
759        0      3   1   2     0     0        4
774        0      3   1   2     0     0        2
776        0      3   1   1     0     0        4
783        0      1   1   2     0     0        4
799        0      3   1   2     0     0        2
828        1      2   1   1     0     2        2
829        0      3   1   2     0     0        3
841        0      3   1   2     0     0        4
846        0      3   1   3     0     0        4
850        1      1   2   2     1     0        2
880        1      1   2   3     0     1        2
891        0      3   1   2     0     0        3
